Date,Time,Area,Site,Plot,Depth (cm),Sample ID,SampleName,SampleID,F-ppm,Cl-ppm,NO3N-ppm,Br-ppm,SO4-ppm,PO4-P-ppm,ICNotes
19-Jul-22,13:40,West,Hydric,1,10,PhIr2022_85B,85,PhIr2022-85,0.123,15.06,,0.031,10.477,,
19-Jul-22,13:57,West,Hydric,1,20,PhIr2022_86B,86,PhIr2022-86,0.068,8.085,,0.011,4.078,0,
19-Jul-22,13:26,West,Hydric,2,0,PhIr2022_87B,87,PhIr2022-87,0.023,3.337,0.002,0,3.996,0,
19-Jul-22,13:47,West,Hydric,2,10,PhIr2022_88B,88,PhIr2022-88,0.08,12.338,0,0.022,16.559,,
19-Jul-22,14:05,West,Hydric,2,20,PhIr2022_89B,89,PhIr2022-89,0.102,13.998,,0.022,15.854,0,
19-Jul-22,14:20,West,Hydric,2,40,PhIr2022_90B,90,PhIr2022-90,0.005,1.161,,0,0.304,0,
19-Jul-22,13:33,West,Hydric,3,0,PhIr2022_91B,91,PhIr2022-91,0.091,15.505,0,0,12.755,0,
19-Jul-22,13:52,West,Hydric,3,10,PhIr2022_92B,92,PhIr2022-92,0.014,0.249,,0.034,0.378,0,
19-Jul-22,14:09,West,Hydric,3,20,PhIr2022_93B,93,PhIr2022-93,0.019,0.091,,0.023,0.181,0,
19-Jul-22,14:36,West,Hydric,3,40,PhIr2022_94B,94,PhIr2022-94,0.101,18.832,,0.023,9.993,0,
19-Jul-22,16:50,West,Blank,,,PhIr2022_95B,95,PhIr2022-95,0.08,19.888,0.005,0,11.056,0,
25-Jul-22,10:50,East,Dry,3,20,PhIr2022_97B,97,PhIr2022-97,0.021,0.253,,0.011,0.093,0,
25-Jul-22,12:08,East,Mesic,1,10,PhIr2022_98B,98,PhIr2022-98,0.019,0.2,0.005,0,0.029,0,
25-Jul-22,12:28,East,Mesic,1,40,PhIr2022_99B,99,PhIr2022-99,0.063,12.54,0.24,0.034,4.97,0,
25-Jul-22,12:23,East,Mesic,2,10,PhIr2022_100B,100,PhIr2022-100,0.105,16.737,0.016,0.045,9.681,0,
25-Jul-22,13:16,East,Hydric,1,0,PhIr2022_101B,101,PhIr2022-101,0.012,0.995,0.005,0,0.363,0,
25-Jul-22,13:48,East,Hydric,1,10,PhIr2022_102B,102,PhIr2022-102,0.031,2.148,,0.11,1.294,,
25-Jul-22,13:53,East,Hydric,1,20,PhIr2022_103B,103,PhIr2022-103,0.082,12.639,0.017,0.088,8.726,,
25-Jul-22,13:17,East,Hydric,2,0,PhIr2022_104B,104,PhIr2022-104,0.051,6.069,0.005,0,3.094,0,
25-Jul-22,13:58,East,Hydric,2,10,PhIr2022_105B,105,PhIr2022-105,0.14,0.639,0.002,0.138,0.228,0,
25-Jul-22,14:23,East,Hydric,2,20,PhIr2022_106B,106,PhIr2022-106,0.052,1.521,0,0.079,1.116,0,
25-Jul-22,13:35,East,Hydric,3,0,PhIr2022_107B,107,PhIr2022-107,0.019,1.177,0.012,0,0.452,0,
25-Jul-22,14:08,East,Hydric,3,10,PhIr2022_108B,108,PhIr2022-108,1.356,0.333,,0.03,0.029,,
25-Jul-22,15:37,East,Hydric,3,20,PhIr2022_109B,109,PhIr2022-109,0.117,16.689,0.004,0.011,8.815,0,
26-Jul-22,11:04,West,Dry,1,0,PhIr2022_110B,110,PhIr2022-110,0.005,0.178,,0,5.474,0,
26-Jul-22,10:53,West,Dry,1,10,PhIr2022_111B,111,PhIr2022-111,0.082,15.906,,0.034,14.702,0,
