ORNL_id,sample_time,area,site,plot,depth_cm,sample_date,Al,Ca,Fe,FeII,K,Mg,Mn,Na,P
PhIr2022-84,13:20,non-acidic tundra,Hydric,1,0,7/19/22,0.01,29.8,0.24,,0.21,4.19,0.05,0.6,0.005
PhIr2022-85,13:40,non-acidic tundra,Hydric,1,10,7/19/22,0.21,31.8,0.4,,0.27,4.33,0.04,0.4,0.005
PhIr2022-86,13:57,non-acidic tundra,Hydric,1,20,7/19/22,0.08,32.2,1.37,,0.21,4.39,0.1,0.38,0.005
PhIr2022-87,13:26,non-acidic tundra,Hydric,2,0,7/19/22,0.03,11.1,0.11,,0.05,1.55,0.01,0.21,0.005
PhIr2022-88,13:47,non-acidic tundra,Hydric,2,10,7/19/22,0.06,19,0.01,,0.16,2.24,0.01,0.34,0.005
PhIr2022-89,14:05,non-acidic tundra,Hydric,2,20,7/19/22,0.01,18.4,0.5,,0.05,2.17,0.04,0.25,0.005
PhIr2022-90,14:20,non-acidic tundra,Hydric,2,40,7/19/22,0.03,22.1,2.73,,0.3,2.56,0.51,0.56,0.01
PhIr2022-91,13:33,non-acidic tundra,Hydric,3,0,7/19/22,0.02,25.9,2.13,1.5,0.09,3.51,0.09,0.42,0.005
PhIr2022-92,13:52,non-acidic tundra,Hydric,3,10,7/19/22,0.01,37.5,1.68,1.75,0.05,4.97,0.17,0.34,0.005
PhIr2022-93,14:09,non-acidic tundra,Hydric,3,20,7/19/22,0.01,39.2,1.73,,0.06,5.66,0.12,0.58,0.005
PhIr2022-94,14:36,non-acidic tundra,Hydric,3,40,7/19/22,0.01,43.3,4.2,3.38,0.1,4.16,1.79,0.61,0.005
PhIr2022-96,10:53,acidic tundra,Dry,1,10,7/25/22,0.22,8.33,0.26,,0.46,1.25,0.06,0.42,0.01
PhIr2022-97,10:50,acidic tundra,Dry,3,20,7/25/22,0.52,4.15,0.54,,0.11,0.81,0.02,0.19,0.01
PhIr2022-98,12:08,acidic tundra,Mesic,1,10,7/25/22,0.3,2.68,0.18,,0.35,0.7,0.06,0.22,0.01
PhIr2022-99,12:28,acidic tundra,Mesic,1,40,7/25/22,0.4,3.61,0.55,0,1.11,0.93,0.19,1.21,0.03
PhIr2022-100,12:23,acidic tundra,Mesic,2,10,7/25/22,0.35,2.58,0.49,,0.23,0.66,0.36,0.24,0.01
PhIr2022-101,13:16,acidic tundra,Hydric,1,0,7/25/22,0.28,2.24,0.22,,0.07,0.57,0.07,0.17,0.005
PhIr2022-102,13:48,acidic tundra,Hydric,1,10,7/25/22,0.44,2.12,4.11,3.9,0.08,0.59,0.28,0.2,0.01
PhIr2022-103,13:53,acidic tundra,Hydric,1,20,7/25/22,0.33,1.37,1.96,,0.04,0.38,0.1,0.22,0.01
PhIr2022-104,13:17,acidic tundra,Hydric,2,0,7/25/22,0.25,3.37,0.16,,0.12,0.66,0.03,0.23,0.005
PhIr2022-105,13:58,acidic tundra,Hydric,2,10,7/25/22,0.52,5.67,4.5,3.5,0.26,1.18,0.62,0.22,0.01
PhIr2022-106,14:23,acidic tundra,Hydric,2,20,7/25/22,0.25,3.24,0.79,0.625,0.1,0.65,1.02,0.29,0.005
