"","PhIr_SampleID","Area","Site","Depth_cm","Day","Month","Year","NPOC_sitemean_mgL","NPOC_se","TN_sitemean_mgL","TN_se","Month2","Date2"
"146","PhIr2022-6","acidic tundra","Hydric",10,"27","Jun","2022",25.9,NA,2.001,NA,"6",2022-06-27
"147","PhIr2022-60","non-acidic tundra","Hydric",10,"12","Jul","2022",14.88,NA,1.187,NA,"7",2022-07-12
"148","PhIr2022-61","non-acidic tundra","Hydric",20,"12","Jul","2022",9.108,NA,1.304,NA,"7",2022-07-12
"149","PhIr2022-62","non-acidic tundra","Hydric",40,"12","Jul","2022",9.304,NA,1.34,NA,"7",2022-07-12
"150","PhIr2022-63","acidic tundra","Dry",10,"18","Jul","2022",25.77,NA,1.38,NA,"7",2022-07-18
"151","PhIr2022-64","acidic tundra","Dry",20,"18","Jul","2022",21.13,NA,1.318,NA,"7",2022-07-18
"152","PhIr2022-65","acidic tundra","Mesic",10,"18","Jul","2022",23.61,NA,2.072,NA,"7",2022-07-18
"153","PhIr2022-66","acidic tundra","Mesic",10,"18","Jul","2022",18.14,NA,1.312,NA,"7",2022-07-18
"154","PhIr2022-67","acidic tundra","Hydric",0,"18","Jul","2022",21.02,NA,1.343,NA,"7",2022-07-18
"155","PhIr2022-68","acidic tundra","Hydric",10,"18","Jul","2022",22.19,NA,1.95,NA,"7",2022-07-18
"156","PhIr2022-69","acidic tundra","Hydric",20,"18","Jul","2022",14.8,NA,1.24,NA,"7",2022-07-18
"157","PhIr2022-7","non-acidic tundra","Dry",0,"29","Jun","2022",9.345,NA,1.252,NA,"6",2022-06-29
"158","PhIr2022-70","acidic tundra","Hydric",0,"18","Jul","2022",21.72,NA,1.331,NA,"7",2022-07-18
"159","PhIr2022-71","acidic tundra","Hydric",10,"18","Jul","2022",21.22,NA,2.341,NA,"7",2022-07-18
"160","PhIr2022-72","acidic tundra","Hydric",20,"18","Jul","2022",20.71,NA,5.453,NA,"7",2022-07-18
"161","PhIr2022-73","acidic tundra","Hydric",0,"18","Jul","2022",35.09,NA,1.746,NA,"7",2022-07-18
"162","PhIr2022-74","acidic tundra","Hydric",10,"18","Jul","2022",49.12,NA,2.877,NA,"7",2022-07-18
"163","PhIr2022-75","non-acidic tundra","Dry",20,"19","Jul","2022",8.755,NA,1.229,NA,"7",2022-07-19
"164","PhIr2022-76","non-acidic tundra","Dry",20,"19","Jul","2022",11.97,NA,1.144,NA,"7",2022-07-19
"165","PhIr2022-77","non-acidic tundra","Mesic",20,"19","Jul","2022",9.678,NA,16.34,NA,"7",2022-07-19
"166","PhIr2022-78","non-acidic tundra","Mesic",0,"19","Jul","2022",11.43,NA,1.568,NA,"7",2022-07-19
"167","PhIr2022-79","non-acidic tundra","Mesic",10,"19","Jul","2022",14.49,NA,26.4,NA,"7",2022-07-19
"168","PhIr2022-8","non-acidic tundra","Mesic",0,"29","Jun","2022",8.055,NA,1.145,NA,"6",2022-06-29
"169","PhIr2022-80","non-acidic tundra","Mesic",20,"19","Jul","2022",13.12,NA,1.977,NA,"7",2022-07-19
"170","PhIr2022-81","non-acidic tundra","Mesic",0,"19","Jul","2022",10.7,NA,1.7,NA,"7",2022-07-19
"171","PhIr2022-82","non-acidic tundra","Mesic",10,"19","Jul","2022",13.18,NA,1.546,NA,"7",2022-07-19
"172","PhIr2022-83","non-acidic tundra","Mesic",20,"19","Jul","2022",12.4,NA,1.276,NA,"7",2022-07-19
"173","PhIr2022-85","non-acidic tundra","Hydric",10,"19","Jul","2022",9.087,NA,1.199,NA,"7",2022-07-19
"174","PhIr2022-86","non-acidic tundra","Hydric",20,"19","Jul","2022",8.442,NA,1.357,NA,"7",2022-07-19
"175","PhIr2022-87","non-acidic tundra","Hydric",0,"19","Jul","2022",9.915,NA,1.276,NA,"7",2022-07-19
"176","PhIr2022-88","non-acidic tundra","Hydric",10,"19","Jul","2022",6.869,NA,1.164,NA,"7",2022-07-19
"177","PhIr2022-89","non-acidic tundra","Hydric",20,"19","Jul","2022",6.965,NA,1.109,NA,"7",2022-07-19
"178","PhIr2022-9","non-acidic tundra","Mesic",10,"29","Jun","2022",14.45,NA,1.188,NA,"6",2022-06-29
"179","PhIr2022-90","non-acidic tundra","Hydric",40,"19","Jul","2022",7.68,NA,1.37,NA,"7",2022-07-19
"180","PhIr2022-91","non-acidic tundra","Hydric",0,"19","Jul","2022",8.366,NA,1.205,NA,"7",2022-07-19
"181","PhIr2022-92","non-acidic tundra","Hydric",10,"19","Jul","2022",10.21,NA,2.356,NA,"7",2022-07-19
"182","PhIr2022-93","non-acidic tundra","Hydric",20,"19","Jul","2022",7.104,NA,1.158,NA,"7",2022-07-19
"183","PhIr2022-94","non-acidic tundra","Hydric",40,"19","Jul","2022",9.602,NA,1.421,NA,"7",2022-07-19
"184","PhIr2022-96","acidic tundra","Dry",10,"25","Jul","2022",25.63,NA,1.652,NA,"7",2022-07-25
"185","PhIr2022-97","acidic tundra","Dry",20,"25","Jul","2022",23.79,NA,1.763,NA,"7",2022-07-25
"186","PhIr2022-98","acidic tundra","Mesic",10,"25","Jul","2022",22.33,NA,1.677,NA,"7",2022-07-25
"187","PhIr2022-99","acidic tundra","Mesic",40,"25","Jul","2022",15.07,NA,1.603,NA,"7",2022-07-25
