"date","area","siterep","soilhorizon","lbc_1_ppm_ca_co3_p_h","lb_ceq_ppm_ca_co3_p_h","p_h_2","ca_mgkg","k_mgkg","mg_mgkg","mn_mgkg","p_mgkg","zn_mgkg","nh4_n_mgkg","no3_n_mgkg","cperc","nperc","to_cperc","sandperc","siltperc","clayperc","soil_type","plotnum","site"
"20210707","non-acidic tundra","H1","O2",4253,12333.7,6.46,14585.11365,56.36365,763.4909,38.37725,34.5182,15.64545,8.5555,52.668,52.668,2.358,48.119,NA,NA,NA,"","1","hydric"
"20210713","non-acidic tundra","H1","O2",3065,8888.5,6.73,18762.00915,211.9573,959.3994,2362.57925,18.4573,70.40245,24.459,45.05,45.05,1.893,36.958,NA,NA,NA,"","1","hydric"
"20210714","acidic tundra","D2","O2",2126,6165.4,4.8,3175.31075,91.66575,244.85085,20.59255,14.32735,8.10085,10.7145,19.343,19.343,0.857,16.367,NA,NA,NA,"","2","dry"
"20210706","acidic tundra","D1","O1",3981,11544.9,4.48,5640.79465,848.44645,638,336.4107,87.42855,34.24105,33.409,51.611,51.611,0.973,51.518,NA,NA,NA,"","1","dry"
"20210807","non-acidic tundra","H2","O1",5485,15906.5,4.78,6616.7843,144.82845,113.79655,157.58825,68.5907,10.92155,17.0095,39.674,39.674,2.106,34.585,NA,NA,NA,"","2","hydric"
"20210713","non-acidic tundra","M1","O2",3590,10411,6.19,15798.84115,145.1719,709.7552,992.362,29.8073,71.1901,14.29,48.598,48.598,1.636,43.037,NA,NA,NA,"","1","mesic"
"20210730","acidic tundra","M1","O",6254,18136.6,4.89,7054.5625,765.5673,801.85095,595.09135,84.90385,48.21155,56.7585,51.683,51.683,1.136,47.054,NA,NA,NA,"","1","mesic"
"20210807","non-acidic tundra","M2","O2",3938,11420.2,5.71,10966.88305,171.1129,541.3226,1535.60485,35.94355,60.8024,38.2355,46.002,46.002,1.659,38.222,NA,NA,NA,"","2","mesic"
"20210713","non-acidic tundra","H3","O2",4549,13192.1,6.11,15926.25,62.4,780.75455,88.12725,46.52725,48.55455,13.623,49.789,49.789,2.1,47.519,NA,NA,NA,"","3","hydric"
"20210713","non-acidic tundra","D3","O2",2840,8236,6.15,13862.6046,163.8954,558.27295,761.25,38.7755,66.66325,8.7435,35.671,35.671,1.342,31.319,NA,NA,NA,"","3","dry"
"20210707","non-acidic tundra","M2","O2",5165,14978.5,5.84,13933.13635,164.4409,686.3318,1547.27275,42.22275,42.92725,22.875,46.908,46.908,1.969,42.774,NA,NA,NA,"","2","mesic"
"20210713","non-acidic tundra","D2","O2",3446,9993.4,6.03,12252.7876,136.76105,574.6394,1316.59735,14.5929,50.3584,10.6665,38.291,38.291,1.423,31.396,NA,NA,NA,"","2","dry"
"20210706","acidic tundra","M3","O",2795,8105.5,4.16,1373.43615,471.1624,232.65875,130.45255,59.0584,16.177,26.2905,24.542,24.542,0.666,24.502,NA,NA,NA,"","3","mesic"
"20210807","non-acidic tundra","H2","O2",3713,10767.7,5.76,16409.11365,60.2818,321.9409,393.2091,24.39545,92.92725,16.389,41.412,41.412,2.09,40.315,NA,NA,NA,"","2","hydric"
"20210807","acidic tundra","M3","O",8091,23463.9,4.32,4438.79165,1096.5375,714.8,587.9125,110.62085,33.32915,39.7335,48.73,48.73,1.234,46.87,NA,NA,NA,"","3","mesic"
"20210713","non-acidic tundra","M3","O",5202,15085.8,5.15,10461.36765,540.65195,581.58825,963.17645,59.91175,50.4951,43.4915,51.31,51.31,1.518,49.575,NA,NA,NA,"","3","mesic"
"20210807","acidic tundra","H1","O2",3626,10515.4,4.86,2092.9788,109.7486,220.9534,1695.137,16.07345,13.17795,32.9455,34.179,34.179,1.673,28.262,NA,NA,NA,"","1","hydric"
"20210707","non-acidic tundra","M1","O",4441,12878.9,6.2,13328.2143,471.4643,682.42345,697.2959,96.25,57.9388,27.69,43.659,43.659,1.613,40.972,NA,NA,NA,"","1","mesic"
"20210707","non-acidic tundra","H1","O1",5369,15570.1,6.63,16146.6006,177.75,826.6372,1336.7927,17.68295,66.47255,14.029,46.414,46.414,2.083,42.922,NA,NA,NA,"","1","hydric"
"20210714","acidic tundra","D2","O1",4350,12615,4.25,4144.42375,1435.1483,681.51695,419.1568,109.3729,77.82625,45.169,55.669,55.669,1.158,54.547,NA,NA,NA,"","2","dry"
"20210706","acidic tundra","M1","O1",4382,12707.8,4.82,5552.48915,850.02175,783.9239,419.8587,87.47825,45.5326,75,50.221,50.221,1.105,50.202,NA,NA,NA,"","1","mesic"
"20210714","acidic tundra","D3","O1",4804,13931.6,4.71,4877.9611,625.16665,496.7278,572.69445,42.61665,34.2722,34.4335,49.255,49.255,1.103,47.123,NA,NA,NA,"","3","dry"
"20210707","non-acidic tundra","M3","O2",5820,16878,5.78,15302.1949,248.4195,749.161,1991.81355,42.0212,57.1356,24.722,46.733,46.733,1.913,43.453,NA,NA,NA,"","3","mesic"
"20210713","non-acidic tundra","D3","O1",2757,7995.3,5.61,8277.2378,796.439,603.5427,253.5366,77.57925,41.85365,21.9635,52.656,52.656,0.763,50.475,NA,NA,NA,"","3","dry"
"20210707","non-acidic tundra","H3","O1",2914,8450.6,7,19431.02885,415.46475,1074.0545,1286.4455,53.6378,97.4391,23.26,49.861,49.861,1.672,47.964,NA,NA,NA,"","3","hydric"
"20210706","acidic tundra","H2","O2",2824,8189.6,4.86,3066.5483,83.41805,193.0168,275.65965,18.86765,6.7605,27.4795,39.397,39.397,1.393,21.96,NA,NA,NA,"","2","hydric"
"20210706","acidic tundra","D3","O",2497,7241.3,4.55,3516.79295,582.8828,439.6992,309.64845,54.91405,22.15625,37.358,36.132,36.132,1.765,34.665,NA,NA,NA,"","3","dry"
"20210731","non-acidic tundra","D3","O2",2899,8407.1,5.53,6873.23405,59.9752,313.74825,278.31385,29.79965,20.2252,7.696,20.867,20.867,0.989,20.275,NA,NA,NA,"","3","dry"
"20210707","non-acidic tundra","M2","O1",4275,12397.5,5.48,12155.26135,435.32955,822.32955,460.6591,60.27275,67.5568,47.931,50.354,50.354,1.335,50.357,NA,NA,NA,"","2","mesic"
"20210707","non-acidic tundra","H2","O2",4052,11750.8,6.13,12714.95515,66.6891,639.51605,48.09935,24.3846,6.6731,10.492,48.338,48.338,2.554,45.196,NA,NA,NA,"","2","hydric"
"20210707","non-acidic tundra","D2","O",4298,12464.2,5.87,13944.2059,273.1912,768.53675,255.64705,34.8603,33.22425,7.3495,42.806,42.806,1.471,40.211,NA,NA,NA,"","2","dry"
"20210706","acidic tundra","H1","O2",2448,7099.2,4.7,2097.55305,125.1932,219.79925,466.1818,25.51895,12.42805,29.111,33.983,33.983,1.764,29.474,NA,NA,NA,"","1","hydric"
"20210707","non-acidic tundra","D3","O1",3776,10950.4,6.31,13533.7381,510.14285,670.2619,488.3095,81.6845,74.39285,26.299,45.752,45.752,1.306,44.084,NA,NA,NA,"","3","dry"
"20210713","non-acidic tundra","H2","O2",5353,15523.7,6.15,7443.45835,29.4896,314.96875,17.5026,14.487,4.0729,9.3685,44.935,44.935,2.192,44.919,NA,NA,NA,"","2","hydric"
"20210713","non-acidic tundra","M2","O2",3097,8981.3,6.05,14673.85185,223.0972,815.5185,350.4676,51.69445,30.50925,20.4375,43.386,43.386,1.823,40.863,NA,NA,NA,"","2","mesic"
"20210731","non-acidic tundra","D3","O1",1560,4524,6.16,13100.78905,624.5703,729.7656,336.5,73.59375,68.5156,32.457,47.294,47.294,1.519,47.021,NA,NA,NA,"","3","dry"
"20210807","acidic tundra","M3","M",873,2531.7,4.79,625.58485,29.14205,95.21585,29.21125,9.60515,3.7795,5.4185,4.039,4.039,0.374,3.808,33.44,24.52,42.04,"Clay","3","mesic"
"20210807","acidic tundra","H1","M",958,2778.2,4.64,544.6598,21.47935,67.59565,19.57715,10.8348,3.1,18.1005,11.597,11.597,0.792,10.383,32.26,30.34,37.4,"Clay Loam","1","hydric"
"20210713","non-acidic tundra","M2","M",515,1493.5,5.3,1674.7271,15.00955,82.4453,8.34095,236.01335,2.3785,4.5685,2.463,2.463,0.279,1.995,NA,NA,NA,"","2","mesic"
"20210807","acidic tundra","M1","M1",341,988.9,4.7,342.72955,28.64315,35.84105,42.42085,52.79025,2.0699,5.9385,1.3,1.3,0.193,1.088,NA,NA,NA,"","1","mesic"
"20210706","acidic tundra","M2","M",322,933.8,4.92,447.80395,24.60215,65.48795,51.1485,20.4632,1.98475,4.571,1.732,1.732,0.403,1.396,39.52,28.36,32.12,"Clay Loam","2","mesic"
"20210807","acidic tundra","M1","M2",490,1421,4.71,347.1847,19.5566,53.3377,44.33645,16.45895,1.71705,3.5445,1.534,1.534,0.21,1.33,36.58,28.36,35.06,"Clay Loam","1","mesic"
"20210730","acidic tundra","D3","M",254,736.6,5.87,1194.4182,22.7392,100.771,7.80055,32.8199,1.37445,2.2565,1.66,1.66,0.279,1.584,41.28,28.68,30.04,"Clay Loam","3","dry"
"20210706","acidic tundra","M2","M",1011,2931.9,4.73,1385.9775,74.69255,189.1723,12.3232,14.4268,4.29505,7.801,7.166,7.166,0.563,8.833,39.96,33.51,26.53,"Loam","2","mesic"
"20210730","acidic tundra","M1","M",230,656.057,4.8,343.3747,17.17505,51.41005,29.70625,16.1523,2.06175,4.0515,1.208,1.208,0.113,1.069,41.28,30.68,28.04,"Clay Loam","1","mesic"
"20210714","acidic tundra","M2","M",563,1632.7,4.63,315.3388,25.46245,58.63935,42.26915,7.51915,0.96105,4.166,1.98,1.98,0.184,1.828,47.16,20.72,32.12,"Sandy Clay Loam","2","mesic"
"20210706","acidic tundra","D3","M",563,1632.7,4.85,767.38805,39.1848,109.9586,49.87425,15.12345,3.07745,3.7105,2.882,2.882,0.283,2.305,42.03,25.22,32.75,"Clay Loam","3","dry"
"20210714","acidic tundra","M1","M",661,1916.9,4.92,1045.99555,26.6491,154.477,95.67805,13.49705,4.50225,4.925,3.477,3.477,0.283,3.167,33.68,34.3,32.02,"Clay Loam","1","mesic"
