"","SampleID","day","month","year","Time","Area","Site","Plot","Depth_cm","date","ICP","concentration"
"134","PhIr2022-18","29","06","2022","15:29","non-acidic tundra","Hydric",2,20,2022-06-29,"Mn_ug_mL",0.02
"135","PhIr2022-18","29","06","2022","15:29","non-acidic tundra","Hydric",2,20,2022-06-29,"Na_ug_mL",0.24
"136","PhIr2022-18","29","06","2022","15:29","non-acidic tundra","Hydric",2,20,2022-06-29,"P_ug_mL",0.005
"137","PhIr2022-19","29","06","2022","14:40","non-acidic tundra","Hydric",3,0,2022-06-29,"Al_ug_mL",0.04
"138","PhIr2022-19","29","06","2022","14:40","non-acidic tundra","Hydric",3,0,2022-06-29,"Ca_ug_mL",28.6
"139","PhIr2022-19","29","06","2022","14:40","non-acidic tundra","Hydric",3,0,2022-06-29,"Fe_ug_mL",3.04
"140","PhIr2022-19","29","06","2022","14:40","non-acidic tundra","Hydric",3,0,2022-06-29,"K_ug_mL",0.25
"141","PhIr2022-19","29","06","2022","14:40","non-acidic tundra","Hydric",3,0,2022-06-29,"Mg_ug_mL",3.55
"142","PhIr2022-19","29","06","2022","14:40","non-acidic tundra","Hydric",3,0,2022-06-29,"Mn_ug_mL",0.28
"143","PhIr2022-19","29","06","2022","14:40","non-acidic tundra","Hydric",3,0,2022-06-29,"Na_ug_mL",0.46
"144","PhIr2022-19","29","06","2022","14:40","non-acidic tundra","Hydric",3,0,2022-06-29,"P_ug_mL",0.005
"145","PhIr2022-20","29","06","2022","15:37","non-acidic tundra","Hydric",3,10,2022-06-29,"Al_ug_mL",0.24
"146","PhIr2022-20","29","06","2022","15:37","non-acidic tundra","Hydric",3,10,2022-06-29,"Ca_ug_mL",35.6
"147","PhIr2022-20","29","06","2022","15:37","non-acidic tundra","Hydric",3,10,2022-06-29,"Fe_ug_mL",1.91
"148","PhIr2022-20","29","06","2022","15:37","non-acidic tundra","Hydric",3,10,2022-06-29,"K_ug_mL",0.45
"149","PhIr2022-20","29","06","2022","15:37","non-acidic tundra","Hydric",3,10,2022-06-29,"Mg_ug_mL",4.44
"150","PhIr2022-20","29","06","2022","15:37","non-acidic tundra","Hydric",3,10,2022-06-29,"Mn_ug_mL",0.24
"151","PhIr2022-20","29","06","2022","15:37","non-acidic tundra","Hydric",3,10,2022-06-29,"Na_ug_mL",0.58
"152","PhIr2022-20","29","06","2022","15:37","non-acidic tundra","Hydric",3,10,2022-06-29,"P_ug_mL",0.01
"153","PhIr2022-21","29","06","2022","15:42","non-acidic tundra","Hydric",3,20,2022-06-29,"Al_ug_mL",0.04
"154","PhIr2022-21","29","06","2022","15:42","non-acidic tundra","Hydric",3,20,2022-06-29,"Ca_ug_mL",37.7
"155","PhIr2022-21","29","06","2022","15:42","non-acidic tundra","Hydric",3,20,2022-06-29,"Fe_ug_mL",1.7
"156","PhIr2022-21","29","06","2022","15:42","non-acidic tundra","Hydric",3,20,2022-06-29,"K_ug_mL",0.27
"157","PhIr2022-21","29","06","2022","15:42","non-acidic tundra","Hydric",3,20,2022-06-29,"Mg_ug_mL",5.19
"158","PhIr2022-21","29","06","2022","15:42","non-acidic tundra","Hydric",3,20,2022-06-29,"Mn_ug_mL",0.26
"159","PhIr2022-21","29","06","2022","15:42","non-acidic tundra","Hydric",3,20,2022-06-29,"Na_ug_mL",0.65
"160","PhIr2022-21","29","06","2022","15:42","non-acidic tundra","Hydric",3,20,2022-06-29,"P_ug_mL",0.005
