"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","Depth_1_cm","Depth_2_cm","Depth_3_cm","Depth_4_cm","Average_Depth_cm","real_depth_cm","soil_bulk_density_g_cm3","volumetric_water_content_cm3_cm3","soil_material","label","date_simple","data"
"33","20210713-W-D1_O1","20210713-W-D1","13-Jul-21","non-acidic tundra","Dry","1","W-D1","O1","9","9","10.5","10.5","9.8","9.8","0.05","0.197","organic","Plot-2-1","Plot-2","analyzed"
"34","20210713-W-D1_O2","20210713-W-D1","13-Jul-21","non-acidic tundra","Dry","1","W-D1","O2","10.5","11","10.5","11.5","10.9","20.7","0.17","0.5644","organic","Plot-2-1","Plot-2","analyzed"
"35","20210713-W-D2_O1","20210713-W-D2","13-Jul-21","non-acidic tundra","Dry","2","W-D2","O1","12.5","12.5","13","13","12.8","12.8","0.04","0.2624","organic","Plot-2-2","Plot-2","analyzed"
"36","20210713-W-D2_O2","20210713-W-D2","13-Jul-21","non-acidic tundra","Dry","2","W-D2","O2","5.5","6.5","8","7","6.8","19.6","0.14","0.5418","organic","Plot-2-2","Plot-2","analyzed"
"37","20210713-W-D3_O1","20210713-W-D3","13-Jul-21","non-acidic tundra","Dry","3","W-D3","O1","11","12","10","11","11","11","0.05","0.185","organic","Plot-2-3","Plot-2","analyzed"
"38","20210713-W-D3_O2","20210713-W-D3","13-Jul-21","non-acidic tundra","Dry","3","W-D3","O2","11","10.5","9.5","9","10","21","0.13","0.4277","organic","Plot-2-3","Plot-2","analyzed"
"39","20210713-W-M1_O1","20210713-W-M1","13-Jul-21","non-acidic tundra","Mesic","1","W-M1","O1","12","13","12.5","11.5","12.3","12.3","0.05","0.2285","organic","Plot-2-1","Plot-2","analyzed"
"40","20210713-W-M1_O2","20210713-W-M1","13-Jul-21","non-acidic tundra","Mesic","1","W-M1","O2","8.5","8","8.5","8.5","8.4","20.7","0.12","0.5472","organic","Plot-2-1","Plot-2","analyzed"
"41","20210713-W-M2_O1","20210713-W-M2","13-Jul-21","non-acidic tundra","Mesic","2","W-M2","O1","5.5","6.5","6.5","6.5","6.3","6.3","0.06","0.168","organic","Plot-2-2","Plot-2","analyzed"
"42","20210713-W-M2_O2","20210713-W-M2","13-Jul-21","non-acidic tundra","Mesic","2","W-M2","O2","5.5","5","5.5","4","5","11.3","0.16","0.5712","organic","Plot-2-2","Plot-2","analyzed"
"43","20210713-W-M2_M","20210713-W-M2","13-Jul-21","non-acidic tundra","Mesic","2","W-M2","M","6.5","3.5","6.5","5.5","5.5","16.8","0.98","0.3136","mineral","Plot-2-2","Plot-2","analyzed"
"44","20210713-W-M3_O","20210713-W-M3","13-Jul-21","non-acidic tundra","Mesic","3","W-M3","O","18.5","18.5","19","18.5","18.6","18.6","0.05","not analyzed","organic","Plot-2-3","Plot-2","analyzed"
"45","20210713-W-H1_O1","20210713-W-H1","13-Jul-21","non-acidic tundra","Hydric","1","W-H1","O1","8.5","8.5","8.5","8.5","8.5","8.5","0.03","0.3975","organic","Plot-2-1","Plot-2","analyzed"
