"","X","SampleID","day","month","year","Time","Area","Site","Plot","Depth_cm","date","ICP","concentration"
"112",112,"PhIr2022-15",29,"June",2022,"15:15","non-acidic tundra","Hydric",1,20,"2022-06-29","P_ug_mL",0.005
"113",113,"PhIr2022-16",29,"June",2022,"15:00","non-acidic tundra","Hydric",2,0,"2022-06-29","Al_ug_mL",0.48
"114",114,"PhIr2022-16",29,"June",2022,"15:00","non-acidic tundra","Hydric",2,0,"2022-06-29","Ca_ug_mL",7.91
"115",115,"PhIr2022-16",29,"June",2022,"15:00","non-acidic tundra","Hydric",2,0,"2022-06-29","Fe_ug_mL",0.19
"116",116,"PhIr2022-16",29,"June",2022,"15:00","non-acidic tundra","Hydric",2,0,"2022-06-29","K_ug_mL",1.08
"117",117,"PhIr2022-16",29,"June",2022,"15:00","non-acidic tundra","Hydric",2,0,"2022-06-29","Mg_ug_mL",1
"118",118,"PhIr2022-16",29,"June",2022,"15:00","non-acidic tundra","Hydric",2,0,"2022-06-29","Mn_ug_mL",0.08
"119",119,"PhIr2022-16",29,"June",2022,"15:00","non-acidic tundra","Hydric",2,0,"2022-06-29","Na_ug_mL",0.76
"120",120,"PhIr2022-16",29,"June",2022,"15:00","non-acidic tundra","Hydric",2,0,"2022-06-29","P_ug_mL",0.01
"121",121,"PhIr2022-17",29,"June",2022,"15:21","non-acidic tundra","Hydric",2,10,"2022-06-29","Al_ug_mL",0.01
"122",122,"PhIr2022-17",29,"June",2022,"15:21","non-acidic tundra","Hydric",2,10,"2022-06-29","Ca_ug_mL",13.8
"123",123,"PhIr2022-17",29,"June",2022,"15:21","non-acidic tundra","Hydric",2,10,"2022-06-29","Fe_ug_mL",0.01
"124",124,"PhIr2022-17",29,"June",2022,"15:21","non-acidic tundra","Hydric",2,10,"2022-06-29","K_ug_mL",0.03
"125",125,"PhIr2022-17",29,"June",2022,"15:21","non-acidic tundra","Hydric",2,10,"2022-06-29","Mg_ug_mL",1.52
"126",126,"PhIr2022-17",29,"June",2022,"15:21","non-acidic tundra","Hydric",2,10,"2022-06-29","Mn_ug_mL",0.01
"127",127,"PhIr2022-17",29,"June",2022,"15:21","non-acidic tundra","Hydric",2,10,"2022-06-29","Na_ug_mL",0.22
"128",128,"PhIr2022-17",29,"June",2022,"15:21","non-acidic tundra","Hydric",2,10,"2022-06-29","P_ug_mL",0.005
"129",129,"PhIr2022-18",29,"June",2022,"15:29","non-acidic tundra","Hydric",2,20,"2022-06-29","Al_ug_mL",0.06
"130",130,"PhIr2022-18",29,"June",2022,"15:29","non-acidic tundra","Hydric",2,20,"2022-06-29","Ca_ug_mL",11.1
"131",131,"PhIr2022-18",29,"June",2022,"15:29","non-acidic tundra","Hydric",2,20,"2022-06-29","Fe_ug_mL",0.18
"132",132,"PhIr2022-18",29,"June",2022,"15:29","non-acidic tundra","Hydric",2,20,"2022-06-29","K_ug_mL",0.12
"133",133,"PhIr2022-18",29,"June",2022,"15:29","non-acidic tundra","Hydric",2,20,"2022-06-29","Mg_ug_mL",1.18
"134",134,"PhIr2022-18",29,"June",2022,"15:29","non-acidic tundra","Hydric",2,20,"2022-06-29","Mn_ug_mL",0.02
"135",135,"PhIr2022-18",29,"June",2022,"15:29","non-acidic tundra","Hydric",2,20,"2022-06-29","Na_ug_mL",0.24
"136",136,"PhIr2022-18",29,"June",2022,"15:29","non-acidic tundra","Hydric",2,20,"2022-06-29","P_ug_mL",0.005
"137",137,"PhIr2022-19",29,"June",2022,"14:40","non-acidic tundra","Hydric",3,0,"2022-06-29","Al_ug_mL",0.04
"138",138,"PhIr2022-19",29,"June",2022,"14:40","non-acidic tundra","Hydric",3,0,"2022-06-29","Ca_ug_mL",28.6
"139",139,"PhIr2022-19",29,"June",2022,"14:40","non-acidic tundra","Hydric",3,0,"2022-06-29","Fe_ug_mL",3.04
"140",140,"PhIr2022-19",29,"June",2022,"14:40","non-acidic tundra","Hydric",3,0,"2022-06-29","K_ug_mL",0.25
"141",141,"PhIr2022-19",29,"June",2022,"14:40","non-acidic tundra","Hydric",3,0,"2022-06-29","Mg_ug_mL",3.55
"142",142,"PhIr2022-19",29,"June",2022,"14:40","non-acidic tundra","Hydric",3,0,"2022-06-29","Mn_ug_mL",0.28
"143",143,"PhIr2022-19",29,"June",2022,"14:40","non-acidic tundra","Hydric",3,0,"2022-06-29","Na_ug_mL",0.46
"144",144,"PhIr2022-19",29,"June",2022,"14:40","non-acidic tundra","Hydric",3,0,"2022-06-29","P_ug_mL",0.005
"145",145,"PhIr2022-20",29,"June",2022,"15:37","non-acidic tundra","Hydric",3,10,"2022-06-29","Al_ug_mL",0.24
"146",146,"PhIr2022-20",29,"June",2022,"15:37","non-acidic tundra","Hydric",3,10,"2022-06-29","Ca_ug_mL",35.6
"147",147,"PhIr2022-20",29,"June",2022,"15:37","non-acidic tundra","Hydric",3,10,"2022-06-29","Fe_ug_mL",1.91
"148",148,"PhIr2022-20",29,"June",2022,"15:37","non-acidic tundra","Hydric",3,10,"2022-06-29","K_ug_mL",0.45
"149",149,"PhIr2022-20",29,"June",2022,"15:37","non-acidic tundra","Hydric",3,10,"2022-06-29","Mg_ug_mL",4.44
"150",150,"PhIr2022-20",29,"June",2022,"15:37","non-acidic tundra","Hydric",3,10,"2022-06-29","Mn_ug_mL",0.24
"151",151,"PhIr2022-20",29,"June",2022,"15:37","non-acidic tundra","Hydric",3,10,"2022-06-29","Na_ug_mL",0.58
"152",152,"PhIr2022-20",29,"June",2022,"15:37","non-acidic tundra","Hydric",3,10,"2022-06-29","P_ug_mL",0.01
"153",153,"PhIr2022-21",29,"June",2022,"15:42","non-acidic tundra","Hydric",3,20,"2022-06-29","Al_ug_mL",0.04
"154",154,"PhIr2022-21",29,"June",2022,"15:42","non-acidic tundra","Hydric",3,20,"2022-06-29","Ca_ug_mL",37.7
"155",155,"PhIr2022-21",29,"June",2022,"15:42","non-acidic tundra","Hydric",3,20,"2022-06-29","Fe_ug_mL",1.7
"156",156,"PhIr2022-21",29,"June",2022,"15:42","non-acidic tundra","Hydric",3,20,"2022-06-29","K_ug_mL",0.27
"157",157,"PhIr2022-21",29,"June",2022,"15:42","non-acidic tundra","Hydric",3,20,"2022-06-29","Mg_ug_mL",5.19
"158",158,"PhIr2022-21",29,"June",2022,"15:42","non-acidic tundra","Hydric",3,20,"2022-06-29","Mn_ug_mL",0.26
"159",159,"PhIr2022-21",29,"June",2022,"15:42","non-acidic tundra","Hydric",3,20,"2022-06-29","Na_ug_mL",0.65
"160",160,"PhIr2022-21",29,"June",2022,"15:42","non-acidic tundra","Hydric",3,20,"2022-06-29","P_ug_mL",0.005
"161",161,"PhIr2022-22",6,"July",2022,"11:55","acidic tundra","Hydric",1,20,"2022-07-06","Al_ug_mL",0.22
"162",162,"PhIr2022-22",6,"July",2022,"11:55","acidic tundra","Hydric",1,20,"2022-07-06","Ca_ug_mL",1.65
"163",163,"PhIr2022-22",6,"July",2022,"11:55","acidic tundra","Hydric",1,20,"2022-07-06","Fe_ug_mL",0.76
"164",164,"PhIr2022-22",6,"July",2022,"11:55","acidic tundra","Hydric",1,20,"2022-07-06","K_ug_mL",0.42
"165",165,"PhIr2022-22",6,"July",2022,"11:55","acidic tundra","Hydric",1,20,"2022-07-06","Mg_ug_mL",0.45
"166",166,"PhIr2022-22",6,"July",2022,"11:55","acidic tundra","Hydric",1,20,"2022-07-06","Mn_ug_mL",0.1
"167",167,"PhIr2022-22",6,"July",2022,"11:55","acidic tundra","Hydric",1,20,"2022-07-06","Na_ug_mL",0.4
"168",168,"PhIr2022-22",6,"July",2022,"11:55","acidic tundra","Hydric",1,20,"2022-07-06","P_ug_mL",0.03
"169",169,"PhIr2022-23",6,"July",2022,"11:15","acidic tundra","Hydric",2,10,"2022-07-06","Al_ug_mL",0.49
"170",170,"PhIr2022-23",6,"July",2022,"11:15","acidic tundra","Hydric",2,10,"2022-07-06","Ca_ug_mL",3.58
"171",171,"PhIr2022-23",6,"July",2022,"11:15","acidic tundra","Hydric",2,10,"2022-07-06","Fe_ug_mL",0.85
"172",172,"PhIr2022-23",6,"July",2022,"11:15","acidic tundra","Hydric",2,10,"2022-07-06","K_ug_mL",0.44
"173",173,"PhIr2022-23",6,"July",2022,"11:15","acidic tundra","Hydric",2,10,"2022-07-06","Mg_ug_mL",0.62
"174",174,"PhIr2022-23",6,"July",2022,"11:15","acidic tundra","Hydric",2,10,"2022-07-06","Mn_ug_mL",0.23
"175",175,"PhIr2022-23",6,"July",2022,"11:15","acidic tundra","Hydric",2,10,"2022-07-06","Na_ug_mL",0.41
"176",176,"PhIr2022-23",6,"July",2022,"11:15","acidic tundra","Hydric",2,10,"2022-07-06","P_ug_mL",0.01
"177",177,"PhIr2022-24",6,"July",2022,"11:40","acidic tundra","Hydric",3,10,"2022-07-06","Al_ug_mL",0.54
"178",178,"PhIr2022-24",6,"July",2022,"11:40","acidic tundra","Hydric",3,10,"2022-07-06","Ca_ug_mL",8.04
"179",179,"PhIr2022-24",6,"July",2022,"11:40","acidic tundra","Hydric",3,10,"2022-07-06","Fe_ug_mL",6.99
"180",180,"PhIr2022-24",6,"July",2022,"11:40","acidic tundra","Hydric",3,10,"2022-07-06","K_ug_mL",0.44
"181",181,"PhIr2022-24",6,"July",2022,"11:40","acidic tundra","Hydric",3,10,"2022-07-06","Mg_ug_mL",1.84
"182",182,"PhIr2022-24",6,"July",2022,"11:40","acidic tundra","Hydric",3,10,"2022-07-06","Mn_ug_mL",9.04
"183",183,"PhIr2022-24",6,"July",2022,"11:40","acidic tundra","Hydric",3,10,"2022-07-06","Na_ug_mL",0.48
"184",184,"PhIr2022-24",6,"July",2022,"11:40","acidic tundra","Hydric",3,10,"2022-07-06","P_ug_mL",0.005
"185",185,"PhIr2022-26",7,"July",2022,"11:49","non-acidic tundra","Mesic",1,20,"2022-07-07","Al_ug_mL",0.04
"186",186,"PhIr2022-26",7,"July",2022,"11:49","non-acidic tundra","Mesic",1,20,"2022-07-07","Ca_ug_mL",12.6
"187",187,"PhIr2022-26",7,"July",2022,"11:49","non-acidic tundra","Mesic",1,20,"2022-07-07","Fe_ug_mL",0.18
"188",188,"PhIr2022-26",7,"July",2022,"11:49","non-acidic tundra","Mesic",1,20,"2022-07-07","K_ug_mL",0.45
"189",189,"PhIr2022-26",7,"July",2022,"11:49","non-acidic tundra","Mesic",1,20,"2022-07-07","Mg_ug_mL",1.62
"190",190,"PhIr2022-26",7,"July",2022,"11:49","non-acidic tundra","Mesic",1,20,"2022-07-07","Mn_ug_mL",0.06
"191",191,"PhIr2022-26",7,"July",2022,"11:49","non-acidic tundra","Mesic",1,20,"2022-07-07","Na_ug_mL",0.36
"192",192,"PhIr2022-26",7,"July",2022,"11:49","non-acidic tundra","Mesic",1,20,"2022-07-07","P_ug_mL",0.06
"193",193,"PhIr2022-27",7,"July",2022,"11:03","non-acidic tundra","Mesic",2,0,"2022-07-07","Al_ug_mL",0.03
"194",194,"PhIr2022-27",7,"July",2022,"11:03","non-acidic tundra","Mesic",2,0,"2022-07-07","Ca_ug_mL",6.16
"195",195,"PhIr2022-27",7,"July",2022,"11:03","non-acidic tundra","Mesic",2,0,"2022-07-07","Fe_ug_mL",0.03
"196",196,"PhIr2022-27",7,"July",2022,"11:03","non-acidic tundra","Mesic",2,0,"2022-07-07","K_ug_mL",0.05
"197",197,"PhIr2022-27",7,"July",2022,"11:03","non-acidic tundra","Mesic",2,0,"2022-07-07","Mg_ug_mL",0.76
"198",198,"PhIr2022-27",7,"July",2022,"11:03","non-acidic tundra","Mesic",2,0,"2022-07-07","Mn_ug_mL",0.003
"199",199,"PhIr2022-27",7,"July",2022,"11:03","non-acidic tundra","Mesic",2,0,"2022-07-07","Na_ug_mL",0.13
"200",200,"PhIr2022-27",7,"July",2022,"11:03","non-acidic tundra","Mesic",2,0,"2022-07-07","P_ug_mL",0.005
"201",201,"PhIr2022-28",7,"July",2022,"12:05","non-acidic tundra","Mesic",2,20,"2022-07-07","Al_ug_mL",0.08
"202",202,"PhIr2022-28",7,"July",2022,"12:05","non-acidic tundra","Mesic",2,20,"2022-07-07","Ca_ug_mL",6.38
"203",203,"PhIr2022-28",7,"July",2022,"12:05","non-acidic tundra","Mesic",2,20,"2022-07-07","Fe_ug_mL",0.49
