SampleID,Date,Time,Area,Site,Plot,Plot_ID,Subsamples_collected,Depth_cm,Solution_pH,Solution_SC,Solution_temp,Filter Type,Comments,
PhIr2022-88,19-Jul-2022,13:47,West,Hydric,2,W-H2,A-D,10,6.87,107,12.3,PES,SC and PH recorded in field,
PhIr2022-89,19-Jul-2022,14:05,West,Hydric,2,W-H2,A-D,20,6.73,108,9.8,PES,SC and PH recorded in field,
PhIr2022-90,19-Jul-2022,14:20,West,Hydric,2,W-H2,A-D,40,6.77,118,11.6,PES,SC and PH recorded in field,
PhIr2022-91,19-Jul-2022,13:33,West,Hydric,3,W-H3,A-D,0,6.63,163,13.2,PES,SC and PH recorded in field,
PhIr2022-92,19-Jul-2022,13:52,West,Hydric,3,W-H3,A-D,10,6.65,193,11.2,PES,SC and PH recorded in field,
PhIr2022-93,19-Jul-2022,14:09,West,Hydric,3,W-H3,A-D,20,6.71,218,10.4,PES,SC and PH recorded in field,
PhIr2022-94,19-Jul-2022,14:36,West,Hydric,3,W-H3,A-D,40,6.6,237,10.1,PES,SC and PH recorded in field,
PhIr2022-95,19-Jul-2022,16:50,West,Blank,,,A-D,,6.37,4,23.1,PES,SC and PH recorded in field,
PhIr2022-96,25-Jul-2022,10:53,East,Dry,1,E-D1,"A,C",10,,,,PES,SC and PH not recorded,
PhIr2022-97,25-Jul-2022,10:50,East,Dry,3,E-D3,A-D,20,5.81,56,14.9,PES,SC and PH recorded in field,
PhIr2022-98,25-Jul-2022,12:08,East,Mesic,1,E-M1,A-D,10,5.41,22,18,PES,SC and PH recorded in field,
PhIr2022-99,25-Jul-2022,12:28,East,Mesic,1,E-M1,A-D,40,5.48,23,17.9,PES,SC and PH recorded in field,
PhIr2022-100,25-Jul-2022,12:23,East,Mesic,2,E-M2,A-D,10,5.69,21,14.7,PES,SC and PH recorded in field,
PhIr2022-101,25-Jul-2022,13:16,East,Hydric,1,E-H1,A-D,0,5.3,16,14.5,PES,SC and PH recorded in field,
PhIr2022-102,25-Jul-2022,13:48,East,Hydric,1,E-H1,A-D,10,5.39,10,16.9,PES,SC and PH recorded in field,
PhIr2022-103,25-Jul-2022,13:53,East,Hydric,1,E-H1,A-D,20,5.8,21,12.9,PES,SC and PH recorded in field,
PhIr2022-104,25-Jul-2022,13:17,East,Hydric,2,E-H2,A-D,0,6.26,33,15,PES,SC and PH recorded in field,
PhIr2022-105,25-Jul-2022,13:58,East,Hydric,2,E-H2,A-D,10,5.77,51,17.9,PES,SC and PH recorded in field,
PhIr2022-106,25-Jul-2022,14:23,East,Hydric,2,E-H2,A-D,20,5.59,32,19.2,PES,SC and PH recorded in field,
PhIr2022-107,25-Jul-2022,13:35,East,Hydric,3,E-H3,A-D,0,5.71,53,14.3,PES,SC and PH recorded in field,
PhIr2022-108,25-Jul-2022,14:08,East,Hydric,3,E-H3,A-D,10,6.5,183,13.7,PES,SC and PH recorded in field,
PhIr2022-109,25-Jul-2022,15:37,East,Hydric,3,E-H3,A-D,20,,,,PES,SC and PH not recorded,
PhIr2022-110,26-Jul-2022,11:04,West,Dry,1,W-D1,A-D,0,6.81,75,7.4,PES,SC and PH recorded in field,
PhIr2022-111,26-Jul-2022,10:53,West,Dry,1,W-D1,A-D,10,7,72,10.2,PES,SC and PH recorded in field,
PhIr2022-112,26-Jul-2022,11:21,West,Dry,1,W-D1,A-D,20,6.19,80,7.8,PES,SC and PH recorded in field,
PhIr2022-113,26-Jul-2022,11:27,West,Dry,2,W-D2,A-D,20,6.14,51,7.5,PES,SC and PH recorded in field,
PhIr2022-114,26-Jul-2022,12:16,West,Mesic,1,W-M1,A-D,20,6.42,73,9.8,PES,SC and PH recorded in field,
PhIr2022-115,26-Jul-2022,12:24,West,Mesic,2,W-M2,A-D,0,6.54,41,8,PES,SC and PH recorded in field,
PhIr2022-116,26-Jul-2022,12:46,West,Mesic,2,W-M2,A-D,10,6.42,34,7.6,PES,SC and PH recorded in field,
PhIr2022-117,26-Jul-2022,12:40,West,Mesic,2,W-M2,A-D,20,6.19,16,9.3,PES,SC and PH recorded in field,
PhIr2022-118,26-Jul-2022,12:31,West,Mesic,3,W-M3,A-D,0,6.74,44,8.6,PES,SC and PH recorded in field,
PhIr2022-119,26-Jul-2022,12:54,West,Mesic,3,W-M3,A-D,10,6.42,41,8.1,PES,SC and PH recorded in field,
PhIr2022-120,26-Jul-2022,13:02,West,Mesic,3,W-M3,A-D,20,6.12,43,8.7,PES,SC and PH recorded in field,
PhIr2022-121,26-Jul-2022,13:58,West,Hydric,1,W-H1,A-D,0,7.69,180,10,PES,SC and PH recorded in field,
PhIr2022-122,26-Jul-2022,14:28,West,Hydric,1,W-H1,A-D,10,6.51,164,9.5,PES,SC and PH recorded in field,
PhIr2022-123,26-Jul-2022,14:36,West,Hydric,1,W-H1,A-D,20,7.06,153,9.8,PES,SC and PH recorded in field,
PhIr2022-124,26-Jul-2022,14:55,West,Hydric,1,W-H1,A-D,40,6.66,293,12,PES,SC and PH recorded in field,
PhIr2022-125,26-Jul-2022,14:06,West,Hydric,2,W-H2,A-D,0,6.9,83,8.6,PES,SC and PH recorded in field,
PhIr2022-126,26-Jul-2022,14:45,West,Hydric,2,W-H2,A-D,10,6.59,111,10.7,PES,SC and PH recorded in field,
PhIr2022-127,26-Jul-2022,14:59,West,Hydric,2,W-H2,A-D,20,6.6,114,10.1,PES,SC and PH recorded in field,
PhIr2022-128,26-Jul-2022,15:14,West,Hydric,2,W-H2,A-D,40,6.23,114,9.6,PES,SC and PH recorded in field,
PhIr2022-129,26-Jul-2022,14:15,West,Hydric,3,W-H3,A-D,0,7.57,179,9.9,PES,SC and PH recorded in field,
PhIr2022-130,26-Jul-2022,15:20,West,Hydric,3,W-H3,A-D,10,7,186,10.4,PES,SC and PH recorded in field,
PhIr2022-131,26-Jul-2022,15:28,West,Hydric,3,W-H3,A-D,20,6.5,200,9.9,PES,SC and PH recorded in field,
PhIr2022-132,26-Jul-2022,15:35,West,Hydric,3,W-H3,A-D,40,6.62,227,9.4,PES,SC and PH recorded in field,
PhIr2022-133,7-Aug-2022,12:29,West,Dry,1,W-D1,A-D,0,7.18,80,8,PES,SC and PH recorded in field,
PhIr2022-134,7-Aug-2022,12:01,West,Dry,1,W-D1,A-D,10,7.3,79,9.2,PES,SC and PH recorded in field,
PhIr2022-135,7-Aug-2022,12:19,West,Dry,1,W-D1,A-D,20,5.98,87,8.5,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-136,7-Aug-2022,12:40,West,Dry,2,W-D2,A-D,10,6.89,53,8.5,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-137,7-Aug-2022,12:51,West,Dry,2,W-D2,A-D,20,5.91,51,8.8,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-138,7-Aug-2022,13:25,West,Mesic,1,W-M1,A-D,20,6.25,48,10.7,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-139,7-Aug-2022,13:13,West,Mesic,2,W-M2,A-D,0,6.3,36,12,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-140,7-Aug-2022,13:47,West,Mesic,2,W-M2,A-D,10,6.14,32,11.2,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-141,7-Aug-2022,13:37,West,Mesic,2,W-M2,A-D,20,6.02,42,14.2,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-142,7-Aug-2022,13:52,West,Mesic,3,W-M3,A-D,0,6.25,40,10.7,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-143,7-Aug-2022,13:57,West,Mesic,3,W-M3,A-D,10,6.61,40,11.1,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-144,7-Aug-2022,14:05,West,Mesic,3,W-M3,A-D,20,5.73,49,11.2,PES,SC and PH recorded in field,* not acidified right away
PhIr2022-145,7-Aug-2022,14:21,West,Hydric,1,W-H1,A-D,0,7.48,207,13.9,PES,SC and PH recorded in field,
PhIr2022-146,7-Aug-2022,14:23,West,Hydric,1,W-H1,A-D,10,6.62,182,12.8,PES,SC and PH recorded in field,
PhIr2022-147,7-Aug-2022,14:34,West,Hydric,1,W-H1,A-D,20,6.56,162,11.8,PES,SC and PH recorded in field,
PhIr2022-148,7-Aug-2022,15:03,West,Hydric,1,W-H1,A-D,40,6.51,294,13.1,PES,SC and PH recorded in field,
PhIr2022-149,7-Aug-2022,14:44,West,Hydric,2,W-H2,A-D,0,6.72,91,12.8,PES,SC and PH recorded in field,
PhIr2022-150,7-Aug-2022,14:44,West,Hydric,2,W-H2,A-D,10,6.73,120,11.1,PES,SC and PH recorded in field,
PhIr2022-151,7-Aug-2022,14:51,West,Hydric,2,W-H2,A-D,20,6.49,118,11.5,PES,SC and PH recorded in field,
PhIr2022-152,7-Aug-2022,14:53,West,Hydric,2,W-H2,A-D,40,6.17,96,10.2,PES,SC and PH recorded in field,
PhIr2022-153,7-Aug-2022,15:00,West,Hydric,3,W-H3,A-D,0,7.13,159,12.8,PES,SC and PH recorded in field,
PhIr2022-154,7-Aug-2022,15:03,West,Hydric,3,W-H3,A-D,10,6.59,196,12.1,PES,SC and PH recorded in field,
PhIr2022-155,7-Aug-2022,15:11,West,Hydric,3,W-H3,A-D,20,6.47,213,12.2,PES,SC and PH recorded in field,
PhIr2022-156,7-Aug-2022,15:18,West,Hydric,3,W-H3,A-D,40,6.41,207,10,PES,SC and PH recorded in field,
PhIr2022-157,8-Aug-2022,11:21,East,Dry,2,E-D2,A-D,10,5.2,27,12.4,PES,SC and PH recorded in field,
PhIr2022-158,8-Aug-2022,11:32,East,Dry,3,E-D3,A-D,10,5.44,21,12.6,PES,SC and PH recorded in field,
PhIr2022-159,8-Aug-2022,11:38,East,Dry,3,E-D3,A-D,20,5.5,27,,PES,SC and PH recorded in field,
PhIr2022-160,8-Aug-2022,12:01,East,Mesic,1,E-M1,A-D,0,5.2,22,10.6,PES,SC and PH recorded in field,
PhIr2022-161,8-Aug-2022,12:26,East,Mesic,1,E-M1,A-D,10,5.19,16,9,PES,SC and PH recorded in field,
PhIr2022-162,8-Aug-2022,12:50,East,Mesic,1,E-M1,A-D,20,5.43,18,10.6,PES,SC and PH recorded in field,
PhIr2022-163,8-Aug-2022,13:00,East,Mesic,1,E-M1,A-D,40,5.46,23,,PES,SC and PH recorded in field,
PhIr2022-164,8-Aug-2022,13:05,East,Mesic,2,E-M2,A-D,10,5.38,15,7.9,PES,SC and PH recorded in field,
PhIr2022-165,8-Aug-2022,13:42,East,Hydric,1,E-H1,A-D,0,5.15,14,6.9,PES,SC and PH recorded in field,
PhIr2022-166,8-Aug-2022,13:41,East,Hydric,1,E-H1,A-D,10,5.39,24,8.2,PES,SC and PH recorded in field,
PhIr2022-167,8-Aug-2022,13:49,East,Hydric,1,E-H1,A-D,20,5.28,22,9.2,PES,SC and PH recorded in field,
PhIr2022-168,8-Aug-2022,13:32,East,Hydric,2,E-H2,A-D,0,5.76,18,9,PES,SC and PH recorded in field,
PhIr2022-169,8-Aug-2022,13:53,East,Hydric,2,E-H2,A-D,10,5.79,77,10.5,PES,SC and PH recorded in field,
PhIr2022-170,8-Aug-2022,13:27,East,Hydric,2,E-H2,A-D,20,5.63,40,,PES,SC and PH recorded in field,
PhIr2022-171,8-Aug-2022,14:05,East,Hydric,3,E-H3,A-D,0,5.95,31,9.5,PES,SC and PH recorded in field,
PhIr2022-172,8-Aug-2022,14:02,East,Hydric,3,E-H3,A-D,10,6.33,348,8.6,PES,SC and PH recorded in field,
PhIr2022-173,8-Aug-2022,13:33,East,Hydric,3,E-H3,A-D,20,6.06,92,13.2,PES,SC and PH recorded in field,
