sampleID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,real_depth_cm,soil_bulk_density_g_cm3,volumetric_water_content_cm3_cm3,soil_material,label,driedsample_readyforshipping
20210713-W-M2_O1,20210713-W-M2,13-Jul-21,non-acidic tundra,Mesic,2,W-M2,O1,5.5,6.5,6.5,6.5,6.3,6.3,0.06,0.168,organic,O1,NA
20210713-W-M2_O2,20210713-W-M2,13-Jul-21,non-acidic tundra,Mesic,2,W-M2,O2,5.5,5,5.5,4,5,11.3,0.16,0.5712,organic,O2,yes
20210713-W-M2_M,20210713-W-M2,13-Jul-21,non-acidic tundra,Mesic,2,W-M2,M,6.5,3.5,6.5,5.5,5.5,16.8,0.98,0.3136,mineral,M,yes
20210713-W-M3_O,20210713-W-M3,13-Jul-21,non-acidic tundra,Mesic,3,W-M3,O,18.5,18.5,19,18.5,18.6,18.6,0.05,NA,organic,O,yes
20210713-W-H1_O1,20210713-W-H1,13-Jul-21,non-acidic tundra,Hydric,1,W-H1,O1,8.5,8.5,8.5,8.5,8.5,8.5,0.03,0.3975,organic,O1,NA
20210713-W-H1_O2,20210713-W-H1,13-Jul-21,non-acidic tundra,Hydric,1,W-H1,O2,10,9,7,10,9,17.5,0.09,0.549,organic,O2,yes
20210713-W-H2_O1,20210713-W-H2,13-Jul-21,non-acidic tundra,Hydric,2,W-H2,O1,10,9.5,8.5,9.5,9.4,9.4,0.15,0.645,organic,O1,yes
20210713-W-H2_O2,20210713-W-H2,13-Jul-21,non-acidic tundra,Hydric,2,W-H2,O2,12,11,11.5,11.5,11.5,20.9,0.13,NA,organic,O2,yes
20210713-W-H3_O1,20210713-W-H3,13-Jul-21,non-acidic tundra,Hydric,3,W-H3,O1,10.5,10,10,10,10.1,10.1,0.09,0.3834,organic,O1,yes
20210713-W-H3_O2,20210713-W-H3,13-Jul-21,non-acidic tundra,Hydric,3,W-H3,O2,8.5,8.5,9.5,9.5,9,19.1,0.11,0.4961,organic,O2,yes
20210714-E-D1_O1,20210714-E-D1,14-Jul-21,acidic tundra,Dry,1,E-D1,O1,6,4.5,7.5,7,6.3,6.3,0.04,0.1604,organic,O1,NA
20210714-E-D1_O2,20210714-E-D1,14-Jul-21,acidic tundra,Dry,1,E-D1,O2,7.5,7,6.5,6,6.8,13.1,0.27,0.4563,organic,O2,yes
20210714-E-D2_O1,20210714-E-D2,14-Jul-21,acidic tundra,Dry,2,E-D2,O1,10,9.5,9,9,9.4,9.4,0.09,0.2106,organic,O1,yes
20210714-E-D2_O2,20210714-E-D2,14-Jul-21,acidic tundra,Dry,2,E-D2,O2,4.5,4.5,4.5,5,4.6,14,0.4,0.552,organic,O2,yes
20210714-E-D3_O1,20210714-E-D3,14-Jul-21,acidic tundra,Dry,3,E-D3,O1,5.5,7,7.5,6.5,6.6,6.6,0.08,0.2728,organic,O1,yes
20210714-E-D3_O2,20210714-E-D3,14-Jul-21,acidic tundra,Dry,3,E-D3,O2,7,7.5,7.5,6,7,13.6,0.27,0.5751,organic,O2,yes
20210714-E-M1_O1,20210714-E-M1,14-Jul-21,acidic tundra,Mesic,1,E-M1,O1,9.5,10,9.5,9.5,9.6,9.6,0.07,0.2282,organic,O1,yes
20210714-E-M1_O2,20210714-E-M1,14-Jul-21,acidic tundra,Mesic,1,E-M1,O2,1.5,2.5,2,2,2,11.6,0.11,0.3256,organic,O2,NA
20210714-E-M1_M,20210714-E-M1,14-Jul-21,acidic tundra,Mesic,1,E-M1,M,5.5,5.5,5,5,5.3,16.9,0.89,0.5251,mineral,M,yes
20210714-E-M2_O,20210714-E-M2,14-Jul-21,acidic tundra,Mesic,2,E-M2,O,8,7.5,7,7,7.4,7.4,0.19,0.2356,organic,O,yes
20210714-E-M2_M,20210714-E-M2,14-Jul-21,acidic tundra,Mesic,2,E-M2,M,9,9,9,8.9,9,16.4,1.15,0.391,mineral,M,yes
20210714-E-M3_O1,20210714-E-M3,14-Jul-21,acidic tundra,Mesic,3,E-M3,O1,5.5,6.5,5.5,8,6.4,6.4,NA,NA,organic,O1,NA
20210714-E-M3_O2,20210714-E-M3,14-Jul-21,acidic tundra,Mesic,3,E-M3,O2,9.5,8.5,7.5,8,8.4,14.8,NA,NA,organic,O2,NA
20210714-E-H1_O1,20210714-E-H1,14-Jul-21,acidic tundra,Hydric,1,E-H1,O1,10.5,10.5,8.5,7.5,9.3,9.3,0.03,0.1962,organic,O1,yes
20210714-E-H1_O2,20210714-E-H1,14-Jul-21,acidic tundra,Hydric,1,E-H1,O2,6,6,5,5.5,5.6,14.9,0.12,0.5088,organic,O2,yes
20210714-E-H1_O2,20210714-E-H1,14-Jul-21,acidic tundra,Hydric,1,E-H1,O2,6,6,5,5.5,5.6,14.9,0.12,0.5088,organic,O2,yes
20210714-E-H2_O1,20210714-E-H2,14-Jul-21,acidic tundra,Hydric,2,E-H2,O1,6.5,5.5,4,5,5.3,5.3,0.05,0.255,organic,O1,NA
20210714-E-H2_O2,20210714-E-H2,14-Jul-21,acidic tundra,Hydric,2,E-H2,O2,10,9.5,9,9,9.4,14.7,0.21,0.588,organic,O2,NA
20210714-E-H3_O1,20210714-E-H3,14-Jul-21,acidic tundra,Hydric,3,E-H3,O1,9,8.5,11,11,9.9,9.9,NA,NA,organic,O1,NA
20210714-E-H3_O2,20210714-E-H3,14-Jul-21,acidic tundra,Hydric,3,E-H3,O2,8,7,8,9,8,17.9,NA,NA,organic,O2,NA
20210724-W-T1_O,20210724-W-T1,24-Jul-21,non-acidic tundra,Transect,T1,W-T1,O,5.5,7,7.5,7.5,6.9,6.9,NA,NA,organic,O,NA
20210724-W-T1_M,20210724-W-T1,24-Jul-21,non-acidic tundra,Transect,T1,W-T1,M,13,12.5,11.5,12.5,12.4,19.3,NA,NA,mineral,M,NA
20210724-W-T2_O1,20210724-W-T2,24-Jul-21,non-acidic tundra,Transect,T2,W-T2,O1,3.5,4.5,4.5,3,3.9,3.9,NA,NA,organic,O1,NA
20210724-W-T2_O2,20210724-W-T2,24-Jul-21,non-acidic tundra,Transect,T2,W-T2,O2,6,7.5,7,7,6.9,10.8,NA,NA,organic,O2,NA
20210724-W-T2_M,20210724-W-T2,24-Jul-21,non-acidic tundra,Transect,T2,W-T2,M,NA,NA,NA,NA,NA,NA,NA,NA,mineral,M,NA
20210724-W-T3_O,20210724-W-T3,24-Jul-21,non-acidic tundra,Transect,T3,W-T3,O,11,12,10.5,12,11.4,11.4,NA,NA,organic,O,NA
20210724-W-T3_M,20210724-W-T3,24-Jul-21,non-acidic tundra,Transect,T3,W-T3,M,12.5,NA,NA,NA,12.5,23.9,NA,NA,mineral,M,NA
20210724-W-T4_O1,20210724-W-T4,24-Jul-21,non-acidic tundra,Transect,T4,W-T4,O1,12.5,12.5,11,11.5,11.9,11.9,NA,NA,organic,O1,NA
20210724-W-T4_O2,20210724-W-T4,24-Jul-21,non-acidic tundra,Transect,T4,W-T4,O2,7.5,7.5,8,8.5,7.9,19.8,NA,NA,organic,O2,NA
20210724-W-T5_O1,20210724-W-T5,24-Jul-21,non-acidic tundra,Transect,T5,W-T5,O1,7.5,6,5,7,6.4,6.4,NA,NA,organic,O1,NA
20210724-W-T5_O2,20210724-W-T5,24-Jul-21,non-acidic tundra,Transect,T5,W-T5,O2,9,8.5,8.5,8,8.5,14.9,NA,NA,organic,O2,NA
20210724-W-T6_O1,20210724-W-T6,24-Jul-21,non-acidic tundra,Transect,T6,W-T6,O1,6.5,7.5,7.5,7,7.1,7.1,NA,NA,organic,O1,NA
20210724-W-T6_O2,20210724-W-T6,24-Jul-21,non-acidic tundra,Transect,T6,W-T6,O2,10,10.5,9.5,9,9.8,16.9,NA,NA,organic,O2,NA
20210724-W-T6_M,20210724-W-T6,24-Jul-21,non-acidic tundra,Transect,T6,W-T6,M,5,4.5,5.5,5.5,5.1,22,NA,NA,mineral,M,NA
20210724-W-T7_O1,20210724-W-T7,24-Jul-21,non-acidic tundra,Transect,T7,W-T7,O1,8,8,8,9.6,8.4,8.4,NA,NA,organic,O1,NA
