"","Day","Month_num","Year","Area","Site","Plot","Plot_ID","rep","thaw_depth_cm","Month","date2"
"134","18","Jun","2021","non-acidic tundra","Hydric",3,"W-H3","X14",20,"06",2021-06-18
"135","18","Jun","2021","non-acidic tundra","Hydric",3,"W-H3","X15",20,"06",2021-06-18
"136","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X1",21,"06",2021-06-19
"137","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X2",19,"06",2021-06-19
"138","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X3",19,"06",2021-06-19
"139","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X4",9,"06",2021-06-19
"140","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X5",29,"06",2021-06-19
"141","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X6",11,"06",2021-06-19
"142","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X7",15,"06",2021-06-19
"143","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X8",16,"06",2021-06-19
"144","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X9",14,"06",2021-06-19
"145","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X10",12,"06",2021-06-19
"146","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X11",9,"06",2021-06-19
"147","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X12",8,"06",2021-06-19
"148","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X13",7,"06",2021-06-19
"149","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X14",45,"06",2021-06-19
"150","19","Jun","2021","acidic tundra","Dry",1,"E-D1","X15",13,"06",2021-06-19
"151","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X1",35,"06",2021-06-19
"152","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X2",17,"06",2021-06-19
"153","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X3",12,"06",2021-06-19
"154","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X4",26,"06",2021-06-19
"155","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X5",14,"06",2021-06-19
"156","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X6",11,"06",2021-06-19
"157","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X7",13,"06",2021-06-19
"158","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X8",10,"06",2021-06-19
"159","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X9",11,"06",2021-06-19
"160","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X10",14,"06",2021-06-19
"161","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X11",12,"06",2021-06-19
"162","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X12",19,"06",2021-06-19
"163","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X13",14,"06",2021-06-19
"164","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X14",49,"06",2021-06-19
"165","19","Jun","2021","acidic tundra","Dry",2,"E-D2","X15",29,"06",2021-06-19
"166","19","Jun","2021","acidic tundra","Dry",3,"E-D3","X1",11,"06",2021-06-19
"167","19","Jun","2021","acidic tundra","Dry",3,"E-D3","X2",6,"06",2021-06-19
"168","19","Jun","2021","acidic tundra","Dry",3,"E-D3","X3",7,"06",2021-06-19
"169","19","Jun","2021","acidic tundra","Dry",3,"E-D3","X4",17,"06",2021-06-19
"170","19","Jun","2021","acidic tundra","Dry",3,"E-D3","X5",11,"06",2021-06-19
"171","19","Jun","2021","acidic tundra","Dry",3,"E-D3","X6",21,"06",2021-06-19
"172","19","Jun","2021","acidic tundra","Dry",3,"E-D3","X7",31,"06",2021-06-19
